Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.002
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.029,-0.00037875,0.003136918631734896,0.039925,4.99000124984377e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.001
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.039,-0.00037975,0.005142047267385336,0.10631300000000002,1.3287464066991628e-05,Movement
"0      -0.001
1       0.000
2       0.000
3      -0.001
4      -0.001
        ...  
3995   -0.002
3996   -0.002
3997   -0.002
3998   -0.002
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.047,-0.00039075,0.0023704364956258477,0.023080999999999997,2.8847644044494437e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.002
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.031,-0.00036375000000000003,0.00312047597011578,0.039469000000000004,4.933008373953257e-06,Movement
"0      -0.002
1      -0.001
2      -0.002
3      -0.001
4      -0.002
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.027,-0.00038950000000000003,0.0033967152027425166,0.046745999999999996,5.84251968503937e-06,Movement
"0       0.001
1       0.001
2       0.001
3       0.000
4       0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.029,-0.00036425,0.002494419264952735,0.025412999999999998,3.1762279715035616e-06,Movement
"0      -0.001
1       0.000
2      -0.001
3       0.000
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.021,-0.00036700000000000003,0.0012851941219063935,0.007144,8.928883889513811e-07,Movement
"0       0.001
1       0.001
2       0.000
3       0.001
4       0.001
        ...  
3995    0.000
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.02,-0.00037325,0.0014294912727347117,0.008728999999999999,1.090988626421697e-06,Movement
"0      -0.001
1      -0.001
2       0.000
3       0.001
4       0.001
        ...  
3995    0.000
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.02,-0.000384,0.0013619866930106126,0.008008000000000001,1.0008748906386702e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.002
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.047,-0.000386,0.0028243580243238267,0.032496,4.061492313460817e-06,Movement
